icd	description	term_main
C84.4	Peripheral T-cell lymphoma, not elsewhere classified	cancer
C84.5	Other mature T/NK-cell lymphomas	cancer
C84.6	Anaplastic large cell lymphoma, ALK-positive	cancer
C84.7	Anaplastic large cell lymphoma, ALK-negative	cancer
C84.8	Cutaneous T-cell lymphoma, unspecified	cancer
C84.9	Mature T/NK-cell lymphoma, unspecified	cancer
C85	Other and unspecified types of non-Hodgkin lymphoma	cancer
C85.0	B-cell lymphoma, unspecified	cancer
C85.1	Mediastinal (thymic) large B-cell lymphoma	cancer
C85.7	Other specified types of non-Hodgkin lymphoma	cancer
C85.9	Non-Hodgkin lymphoma, unspecified	cancer
C86	Other specified types of T/NK-cell lymphoma	cancer
C86.0	Extranodal NK/T-cell lymphoma, nasal type	cancer
C86.1	Hepatosplenic T-cell lymphoma	cancer
C86.2	Enteropathy-type (intestinal) T-cell lymphoma	cancer
C86.3	Subcutaneous panniculitis-like T-cell lymphoma	cancer
C86.4	Blastic NK-cell lymphoma	cancer
C86.5	Angioimmunoblastic T-cell lymphoma	cancer
C86.6	Primary cutaneous CD30-positive T-cell neoplasms	cancer
C88	Malignant immunoproliferative diseases	cancer
C88.0	Waldenström macroglobulinaemia	cancer
C88.2	Other heavy chain disease	cancer
C88.3	Immunoproliferative small intestinal disease	cancer
C88.4	Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lyphoma]	cancer
C88.7	Other malignant immunoproliferative diseases	cancer
C88.9	Malignant immunoproliferative disease, unspecified	cancer
C90	Multiple myeloma and malignant plasma cell neoplasms	cancer
C90.0	Multiple myeloma	cancer
C90.1	Plasma cell leukaemia	cancer
C90.2	Extramedullary plasmacytoma	cancer
C90.3	Solitary plasmacytoma	cancer
C91	Lymphoid leukaemia	cancer
C91.0	Acute lymphoblastic leukaemia [ALL]	cancer
C91.1	Chronic lymphocytic leukaemia of B-cell type	cancer
C91.3	Prolymphocytic leukaemia of B-cell type	cancer
C91.4	Hairy-cell leukaemia	cancer
C91.5	Adult T-cell lymphoma/leukaemia [HTLV-1-associated]	cancer
C91.6	Prolymphocytic leukaemia of T-cell type	cancer
C91.7	Other lymphoid leukaemia	cancer
C91.8	Mature B-cell leukaemia Burkitt-type	cancer
C91.9	Lymphoid leukaemia, unspecified	cancer
C92	Myeloid leukaemia	cancer
C92.0	Acute myeloblastic leukaemia [AML]	cancer
C92.1	Chronic myeloid leukaemia [CML], BCR/ABL-positive	cancer
C92.2	Atypical chronic myeloid leukaemia, BCR/ABL-negative	cancer
C92.3	Myeloid sarcoma	cancer
C92.4	Acute promyelocytic leukaemia [PML]	cancer
C92.5	Acute myelomonocytic leukaemia	cancer
C92.6	Acute myeloid leukaemia with 11q23-abnormality	cancer
C92.7	Other myeloid leukaemia	cancer
C92.8	Acute myeloid leukaemia with multilineage dysplasia	cancer
C92.9	Myeloid leukaemia, unspecified	cancer
C93	Monocytic leukaemia	cancer
C93.0	Acute monoblastic/monocytic leukaemia	cancer
C93.1	Chornic myelomonocytic leukaemia	cancer
C93.3	Juvenile myelomonocytic leukaemia	cancer
C93.7	Other monocytic leukaemia	cancer
C93.9	Monocytic leukaemia, unspecified	cancer
C94	Other leukaemias of specified cell type	cancer
C94.0	Acute erythroid leukaemia	cancer
C94.2	Acute megakaryoblastic leukaemia	cancer
C94.3	Mast cell leukaemia	cancer
C94.4	Acute panmyelosis with myelofibrosis	cancer
C94.6	Myelodysplastic and myeloproliferative disease, not elsewhere classified	cancer
C94.7	Other specified leukaemias	cancer
C95	Leukaemia of unspecified cell type	cancer
C95.0	Acute leukaemia of unspecified cell type	cancer
C95.1	Chronic leukaemia of unspecified cell type	cancer
C95.7	Other leukaemia of unspecified cell type	cancer
C95.9	Leukaemia, unspecified	cancer
C96	Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue	cancer
C96.0	Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease]	cancer
C96.2	Malignant mast cell tumour	cancer
C96.4	Sarcoma of dendritic cells (accessory cells)	cancer
C96.5	Multifocal and unisystemic Langerhans-cell histiocytosis	cancer
C96.6	Unifocal Langerhans-cell histiocystosis	cancer
C96.7	Other specified malignant neoplasms of lymphoid, haematopoietic and related tissue	cancer
C96.8	Histiocytic sarcoma	cancer
C96.9	Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified	cancer
C97	Malignant neoplasms of independent (primary) multiple sites	cancer
D00	Carcinoma in situ of oral cavity, oesophagus and stomach	cancer
D00.0	Carcinoma in situ: Lip, oral cavity and pharynx	cancer
D00.1	Carcinoma in situ: Oesophagus	cancer
D00.2	Carcinoma in situ: Stomach	cancer
D01	Carcinoma in situ of other and unspecified digestive organs	cancer
D01.0	Carcinoma in situ: Colon	cancer
D01.1	Carcinoma in situ: Rectosigmoid junction	cancer
D01.2	Carcinoma in situ: Rectum	cancer
D01.3	Carcinoma in situ: Anus and anal canal	cancer
D01.4	Carcinoma in situ: Other and unspecified parts of intestine	cancer
D01.5	Carcinoma in situ: Liver, gallbladder and bile ducts	cancer
D01.7	Carcinoma in situ: Other specified digestive organs	cancer
D01.9	Carcinoma in situ: Digestive organ, unspecified	cancer
D02	Carcinoma in situ of middle ear and respiratory system	cancer
D02.0	Carcinoma in situ: Larynx	cancer
D02.1	Carcinoma in situ: Trachea	cancer
D02.2	Carcinoma in situ: Bronchus and lung	cancer
D02.3	Carcinoma in situ: Other parts of respiratory system	cancer
D02.4	Carcinoma in situ: Respiratory system, unspecified	cancer
D03	Melanoma in situ	cancer
D03.0	Melanoma in situ of lip	cancer
D03.1	Melanoma in situ of eyelid, including canthus	cancer
D03.2	Melanoma in situ of ear and external auricular canal	cancer
D03.3	Melanoma in situ of other and unspecified parts of face	cancer
D03.4	Melanoma in situ of scalp and neck	cancer
D03.5	Melanoma in situ of trunck	cancer
D03.6	Melanoma in situ of upper limb, including shoulder	cancer
D03.7	Melanoma in situ of lower limb, including hip	cancer
D03.8	Melanoma in situ of other sites	cancer
D03.9	Melanoma in situ, unspecified	cancer
D07	Carcinoma in situ of other unspecified genital organs	cancer
D07.0	Carcinoma in situ: Endometrium	cancer
D07.1	Carcinoma in situ: Vulva	cancer
D07.2	Carcinoma in situ: Vagina	cancer
D07.3	Carcinoma in situ: Other and unspecified female genital organs	cancer
D07.4	Carcinoma in situ: Penis	cancer
D07.5	Carcinoma in situ: Prostate	cancer
D07.6	Carcinoma in situ: Other and unspecified male genital organs	cancer
D09	Carcinoma in situ of other and unspecified sites	cancer
D09.0	Carcinoma in situ: Bladder	cancer
D09.1	Carcinoma in situ: Other and unspecified urinary organs	cancer
D09.2	Carcinoma in situ: Eye	cancer
D09.3	Carcinoma in situ: Throid and other endocrine glands	cancer
D09.7	Carcinoma in situ of other specified sites	cancer
D09.9	Carcinoma in situ, unspecified	cancer
D37	Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs	cancer
D37.0	Neoplasm of uncertain or unknown behaviour: Lip, oral cavity and pharynx	cancer
D37.1	Neoplasm of uncertain or unknown behaviour: Stomach	cancer
D37.2	Neoplasm of uncertain or unknown behaviour: Small intestine	cancer
D37.3	Neoplasm of uncertain or unknown behaviour: Appendix	cancer
D37.4	Neoplasm of uncertain or unknown behaviour: Colon	cancer
D37.5	Neoplasm of uncertain or unknown behaviour: Rectum	cancer
D37.6	Neoplasm of uncertain or unknown behaviour: Liver, gallbladder and bile ducts	cancer
D37.7	Neoplasm of uncertain or unknown behaviour: Other digestive organs	cancer
D37.9	Neoplasm of uncertain or unknown behaviour: Digestive organ, unspecified	cancer
D38	Neoplasm of uncertain or unknown behaviour of middle ear and respiratory intrathoracic organs	cancer
D38.0	Neoplasm of uncertain or unknown behaviour: Larynx	cancer
D38.1	Neoplasm of uncertain or unknown behaviour: Trachea, bronchus and lung	cancer
D38.2	Neoplasm of uncertain or unknown behaviour: Pleura	cancer
D38.3	Neoplasm of uncertain or unknown behaviour: Mediastinum	cancer
D38.4	Neoplasm of uncertain or unknown behaviour: Thymus	cancer
D38.5	Neoplasm uncertain or unknown behaviour: Other respiratory organs	cancer
D38.6	Neoplasm uncertain or unknown behaviour: Respiratory organ, unspecified	cancer
D39	Neoplasm of uncertain or unknown behaviour of female genital organs	cancer
D39.0	Neoplasm of uncertain or unknown behaviour: Uterus	cancer
D39.1	Neoplasm of uncertain or unknown behaviour: Ovary	cancer
D39.2	Neoplasm of uncertain or unknown behaviour: Placenta	cancer
D39.7	Neoplasm of uncertain or unknown behaviour: Other female genital organs	cancer
D39.9	Neoplasm of uncertain or unknown behaviour: Female genital organ, unspecified	cancer
D40	Neoplasm of uncertain or unknown behaviour of male genital organs	cancer
D40.0	Neoplasm of uncertain or unknown behaviour: Prostate	cancer
D40.1	Neoplasm of uncertain or unknown behaviour: Testis	cancer
D40.7	Neoplasm of uncertain or unknown behaviour: Other male genital organs	cancer
D40.9	Neoplasm of uncertain or unknown behaviour: Male genital organ, unspecified	cancer
D41	Neoplasm of uncertain or unknown behaviour of urinary organs	cancer
D41.0	Neoplasm of uncertain or unknown behaviour: Kidney	cancer
D41.1	Neoplasm of uncertain or unknown behaviour: Renal pelvis	cancer
D41.2	Neoplasm of uncertain or unknown behaviour: Ureter	cancer
D41.3	Neoplasm of uncertain or unknown behaviour: Urethra	cancer
D41.4	Neoplasm of uncertain or unknown behaviour: Bladder	cancer
D41.7	Neoplasm of uncertain or unknown behaviour: Other urinary organs	cancer
D41.9	Neoplasm of uncertain or unknown behaviour: Urinary organ, unspecified	cancer
D42	Neoplasm of uncertain or unknown behaviour of meninges	cancer
D42.0	Neoplasm of uncertain or unknown behaviour: Cerebral meninges	cancer
D42.1	Neoplasm of uncertain or unknown behaviour: Spinal meninges	cancer
D42.9	Neoplasm of uncertain or unknown behaviour: Meninges, unspecified	cancer
D43	Neoplasm of uncertain or unknown behaviour of brain and central nervous system	cancer
D43.0	Neoplasm of uncertain or unknown behaviour: Brain, supratentorial	cancer
D43.1	Neoplasm of uncertain or unknown behaviour: Brain, infratentorial	cancer
D43.2	Neoplasm of uncertain or unknown behaviour: Brain, unspecified	cancer
D43.3	Neoplasm of uncertain or unknown behaviour: Cranial nerves	cancer
D43.4	Neoplasm of uncertain or unknown behaviour: Spinal cord	cancer
D43.7	Neoplasm of uncertain or unknown behaviour: Other parts of central nervous system	cancer
D43.9	Neoplasm of uncertain or unknown behaviour: Central nervous system, unspecified	cancer
D44	Neoplasm of uncertain or unknown behaviour of endocrine glands	cancer
D44.0	Neoplasm of uncertain or unknown behaviour: Thyroid gland	cancer
D44.1	Neoplasm of uncertain or unknown behaviour: Adrenal gland	cancer
D44.2	Neoplasm of uncertain or unknown behaviour: Parathroid gland	cancer
D44.3	Neoplasm of uncertain or unknown behaviour: Pituitary gland	cancer
D44.4	Neoplasm of uncertain or unknown behaviour: Craniopharyngeal duct	cancer
D44.5	Neoplasm of uncertain or unknown behaviour: Pineal gland	cancer
D44.6	Neoplasm of uncertain or unknown behaviour: Carotid body	cancer
D44.7	Neoplasm of uncertain or unknown behaviour: Aortic body and other paraganglia	cancer
D44.8	Neoplasm of uncertain or unknown behaviour: Pluriglandular involvement	cancer
D44.9	Neoplasm of uncertain or unknown behaviour: Endocrine gland, unspecified	cancer
D47.7	Other specified neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue	cancer
D47.9	Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified	cancer
D48	Neoplasm of uncertain or unknown behaviour of other and unspecified sites	cancer
D48.0	Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage	cancer
D48.1	Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue	cancer
D48.2	Neoplasm of uncertain or unknown behaviour: Peripheral nerves and autonomic nervous system	cancer
D48.3	Neoplasm of uncertain or unknown behaviour: Retroperitoneum	cancer
D48.4	Neoplasm of uncertain or unknown behaviour: Peritoneum	cancer
D48.5	Neoplasm of uncertain or unknown behaviour: Skin	cancer
D48.6	Neoplasm of uncertain or unknown behaviour: Breast	cancer
D48.7	Neoplasm of uncertain or unknown behaviour: Other specified sites	cancer
D48.9	Neoplasm of uncertain or unknown behaviour: Neoplasm of uncertain or unknown behaviour, unspecified	cancer
E26.0	Primary hyperaldosteronism	primary hyperaldoseronism
E26.8	Other hyperaldosteronism	primary hyperaldoseronism
E26.9	Hyperaldosteronism, unspecified	primary hyperaldoseronism
E74.1	Disorders of fructose metabolism	fructose intolerence
F00	Dementia in Alzheimer disease	Excl other
F00.0	Dementia in Alzheimer disease with early onset	Excl other
F00.1	Dementia in Alzheimer disease with late onset	Excl other
F00.2	Dementia in Alzheimer disease, atypical or mixed type	Excl other
F00.9	Dementia in Alzheimer disease, unspecified	Excl other
F01	Vascular dementia	Excl other
F01.0	Vascular dementia of acute onset	Excl other
F01.1	Multi-infarct dementia	Excl other
F01.2	Subcortical vascular dementia	Excl other
F01.3	Mixed cortical and subcortical vascular dementia	Excl other
F01.8	Other vascular dementia	Excl other
F01.9	Vascular dementia, unspecified	Excl other
F02	Dementia in other diseases classified elsewhere 	Excl other
F02.0	Dementia in Pick disease	Excl other
F02.1	Dementia in Creutzfeldt-Jakob disease	Excl other
F02.2	Dementia in Huntington disease	Excl other
F02.3	Dementia in Parkinson disease	Excl other
F02.4	Dementia in human immunodeficiency virus [HIV] disease	Excl other
F02.8	Dementia in other specified diseases classified elsewhere	Excl other
F03	Unspecified dementia	Excl other
F04	Organic amnesic syndrome, not induced by alcohol and other psychoactive substances	Excl other
F05	Delirium, not induced by alcohol and other psychoactive substances	Excl other
F05.0	Delirium not superimposed on dementia, so described	Excl other
F05.1	Delirium superimposed on dementia	Excl other
F05.8	Other delirium	Excl other
F05.9	Delirium, unspecified	Excl other
F06	Other mental disorders due to brain damage and dysfunction and to physical disease	Excl other
F06.0	Organic hallucinosis	Excl other
F06.1	Organic catatonic disorder	Excl other
F06.2	Organic delusional [schizophrenia-like] disorder	Excl other
F06.8	Other specified mental disorders due to brain damage and dysfunction and to physical disease	Excl other
F06.9	Unspecified mental disorder due to brain damage and dysfuntion and to physical disease	Excl other
F07	Personality and behavioural disorders due to brain disease, damage and dysfunction	Excl other
F07.8	Other organic personality and behavioural disorders due to brain disease, damage and dysfunction	Excl other
F07.9	Unspecified organic personality and behavioural disorder due to brain disease, damage and dysfunction	Excl other
F09	Unspecified organic or symptomatic mental disorder	Excl other
F10.0	Mental and behavioural disorders due to use of alcohol: acute intoxication	alcohol dependence
F10.1	Mental and behavioural disorders due to use of alcohol: harmful use	alcohol dependence
F10.2	Mental and behavioural disorders due to use of alcohol: dependence syndrome	alcohol dependence
F10.3	Mental and behavioural disorders due to use of alcohol withdrawal state	alcohol dependence
F10.4	Mental and behavioural disorders due to use of alcohol withdrawal state with delirium	alcohol dependence
F10.5	Mental and behavioural disorders due to use of alcohol: psychotic disorder	alcohol dependence
F10.6	Mental and behavioural disorders due to use of alcohol: amnesic syndrome	alcohol dependence
F10.7	Mental and behavioural disorders due to use of alcohol: residual and late-onset psychotic disorder	alcohol dependence
F10.8	Mental and behavioural disorders due to use of alcohol: other mental and behavioural disorders	alcohol dependence
F10.9	Mental and behavioural disorders due to use of alcohol: unspecified mental and behavioural disorder	alcohol dependence
F11.1	Mental and behavioural disorders due to use of opioids: harmful use	drug dependence
F11.2	Mental and behavioural disorders due to use of opiods: dependence syndrome	drug dependence
F11.3	Mental and behavioural disorders due to use of opiods withdrawal state	drug dependence
F11.4	Mental and behavioural disorders due to use of opiods withdrawal state with delirium	drug dependence
F12.1	Mental and behavioural disorders due to use of cannabinoids: harmful use	drug dependence
F12.2	Mental and behavioural disorders due to use of cannabinoids: dependence syndrome	drug dependence
F12.3	Mental and behavioural disorders due to use of cannabinoids withdrawal state	drug dependence
F12.4	Mental and behavioural disorders due to use of cannabinoids withdrawal state with delirium	drug dependence
F12.9	Mental and behavioural disorders due to use of cannabinoids unspecified mental and behavioural disorder	drug dependence
F13.1	Mental and behavioural disorders due to use of sedatives or hypnotics: harmful use	drug dependence
F13.2	Mental and behavioural disorders due to use of sedatives or hypnotics: dependence syndrome	drug dependence
F13.3	Mental and behavioural disorders due to use of sedatives or hypnotics withdrawal state	drug dependence
F13.4	Mental and behavioural disorders due to use of sedatives or hypnotics withdrawal state with delirium	drug dependence
F14.1	Mental and behavioural disorders due to use of cocaine: harmful use	drug dependence
F14.2	Mental and behavioural disorders due to use of cocaine: dependence syndrome	drug dependence
F14.3	Mental and behavioural disorders due to use of cocaine withdrawal state	drug dependence
F14.4	Mental and behavioural disorders due to use of cocaine withdrawal state with delirium	drug dependence
F15.1	Mental and behavioural disorders due to use of other stimulants, including caffeine: harmful use	drug dependence
F15.2	Mental and behavioural disorders due to use of other stimulants, including caffeine: dependence syndrome	drug dependence
F15.3	Mental and behavioural disorders due to use of other stimulants, including caffeine withdrawal state	drug dependence
F15.4	Mental and behavioural disorders due to use of other stimulants, including caffeine withdrawal state with delirium	drug dependence
F16.1	Mental and behavioural disorders due to use of hallucinogens: harmful use	drug dependence
F16.2	Mental and behavioural disorders due to use of hallucinogens: dependence syndrome	drug dependence
F16.3	Mental and behavioural disorders due to use of hallucinogens withdrawal state	drug dependence
F16.4	Mental and behavioural disorders due to use of hallucinogens withdrawal state with delirium	drug dependence
F18.1	Mental and behavioural disorders due to use of volatile solvents: harmful use	drug dependence
F18.2	Mental and behavioural disorders due to use of volatile solvents: dependence syndrome	drug dependence
F18.3	Mental and behavioural disorders due to use of volatile solvents withdrawal state	drug dependence
F18.4	Mental and behavioural disorders due to use of volatile solvents withdrawal state with delirium	drug dependence
F19.1	Mental and behavioural disorders due to use of multiple drug use and use of other psychoactive substances: harmful use	drug dependence
F19.2	Mental and behavioural disorders due to use of multiple drug use and use of other psychoactive substances: dependence syndrome	drug dependence
F19.3	Mental and behavioural disorders due to use of multiple drug use and use of other psychoactive substances withdrawal state	drug dependence
F19.4	Mental and behavioural disorders due to use of multiple drug use and use of other psychoactive substances withdrawal state with delirium	drug dependence
F20	Schizophrenia	Excl other
F20.0	Paranoid schizophrenia	Excl other
F20.1	Henephrenic schizophrenia	Excl other
F20.2	Catatonic schizophrenia	Excl other
F20.3	Undifferentiated schizophrenia	Excl other
F20.4	Post-schizophrenic depression	Excl other
F20.5	Residual schizophrenia	Excl other
F20.6	Simple schizophrenia	Excl other
F20.8	Other schizophrenia	Excl other
F20.9	Schizophrenia, unspecified	Excl other
F21	Schizotypal disorder	Excl other
F22	Persistent delusional disorders	Excl other
F22.0	Delusional disorder	Excl other
F22.8	Other persistent delusional disorders	Excl other
F22.9	Persistent delusional disorder, unspecified	Excl other
F23	Acute and transient psychotic disorders	Excl other
F23.0	Acute and polymorphic psychotic disorder without symptoms of schizophrenia	Excl other
F23.1	Acute polymorphic psychotic disorder with symptoms of schizophrenia	Excl other
F23.2	Acute schizophrenia-like psychotic disorder	Excl other
F23.3	Other acute predominantly delusional psychotic disorders	Excl other
F23.8	Other acute and transient psychotic disorders	Excl other
F23.9	Acute and transient psychotic disorder, unspecified	Excl other
F24	Induced delusion disorder	Excl other
F25	Schizoaffective disorders	Excl other
F25.0	Schizoaffective disorder, manic type	Excl other
F25.1	Schizoaffective disorder, depressive type	Excl other
F25.2	Schizoaffective disorder, mixed type	Excl other
F25.8	Other schizoaffective disorders	Excl other
F25.9	Schizoaffective disorder, unspecified	Excl other
F28	Other nonorganic psychotic disorders	Excl other
F29	Unspecified nonorganic psychosis	Excl other
F30	Manic episode	Excl other
F30.0	Hypomania	Excl other
F30.1	Mania without psychotic symptoms	Excl other
F30.2	Mania with psychotic symptoms	Excl other
F30.8	Other manic episodes	Excl other
F30.9	Manic episode, unspecified	Excl other
F31	Bipolar affective disorder	Excl other
F31.0	Bipolar affective disorder, current episode hypomanic	Excl other
F31.1	Bipolar affective disorder, current episode manic without psychotic symptoms	Excl other
F31.2	Bipolar affective disorder, current episode manic with psychotic symptoms	Excl other
F31.3	Bipolar affective disorder, current episode mild or moderate depression	Excl other
F31.4	Bipolar affective disorder, current episode severe depression without psychotic symptoms	Excl other
F31.5	Bipolar affective disorder, current episode severe depression with psychotic symptoms	Excl other
F31.6	Bipolar affective disorder, current episode mixed	Excl other
F31.7	Bipolar affective disorder, currently in remission	Excl other
F31.8	Other bipolar affective disorders	Excl other
F31.9	Bipolar affective disorder, unspecified	Excl other
F32.3	Severe depressive episode with psychotic symptoms	Excl other
F33.3	Recurrent depressive disorder, current episode severe with psychotic symptoms	Excl other
F40	Phobic anxiety disorders	Excl other
F40.0	Agoraphobia	Excl other
F40.1	Social phobias	Excl other
F40.2	Specific (isolated) phobias	Excl other
F40.8	Other phobic anxiety disorders	Excl other
F40.9	Phobic anxiety disorder, unspecified	Excl other
F41	Other anxiety disorders 	Excl other
F41.0	Panic disorder [episodic paroxysmal anxiety]	Excl other
F44	Dissociative [conversion] disorders	Excl other
F44.0	Dissociative amnesia	Excl other
F44.1	Dissociative fugue	Excl other
F44.2	Dissociative stupor	Excl other
F44.3	Trance and possession disorders	Excl other
F44.4	Dissociative motor disorders	Excl other
F44.5	Dissociative convulsions	Excl other
F44.6	Dissociative anaesthesia and sensory loss	Excl other
F44.7	Mixed dissociative [conversion] disorders	Excl other
F44.8	Other dissociative [conversion] disorders 	Excl other
F44.9	Dissociative [conversion] disorder, unspecified	Excl other
F55	Abuse of non-dependence-producing substances	drug dependence
F60	Specific personality disorders	Excl other
F60.0	Paranoid personality disorder	Excl other
F60.1	Schizoid personality disorder	Excl other
F60.2	Dissocial personality disorder	Excl other
F60.3	Emotionally unstable personality disorder	Excl other
F60.4	Histrionic personality disorder	Excl other
F60.5	Anankastic personality disorder	Excl other
F60.6	Anxious [avoidant] personality disorder	Excl other
F60.7	Dependent personality disorder	Excl other
F60.8	Other specific personality disorders	Excl other
F60.9	Personality disorder, unspecified	Excl other
F61	Mixed and other personality disorders	Excl other
F62	Enduring personality changes, not attributable to brain damage and disease	Excl other
F62.0	Enduring personality change after catastrophic experience	Excl other
F62.1	Enduring personality change after psychiatric illness	Excl other
F62.8	Other enduring personality changes	Excl other
F62.9	Enduring personality change, unspecified	Excl other
F63	Habit and impulse disorders	Excl other
F63.0	Pathological gambling	Excl other
F71	Moderate mental retardation	Excl other
F71.0	Moderate mental retardation with the statement of no, or minimal, impairment of behaviour	Excl other
F71.1	Moderate mental retardation: significant impairment of behaviour requiring attention or treatment	Excl other
F71.8	Moderate mental retardation: other impairments of behaviour	Excl other
F71.9	Moderate mental retardation without mention of impairment of behaviour	Excl other
F72	Severe mental retardation	Excl other
F72.0	Severe mental retardation with the statement of no, or minimal, impairment or behaviour	Excl other
F72.1	Severe mental retardation: significant impairment of behaviour requiring attention or treatment	Excl other
F72.8	Severe mental retardation: other impairments of behaviour	Excl other
F72.9	Severe mental retardation without mention of impairment of behaviour	Excl other
F73	Profound mental retardation	Excl other
F73.0	Profound mental retardation with the statement of no, or minimal, impairment of behaviour	Excl other
F73.1	Profound mental retardation: significant impairment of behaviour requiring attention or treatment	Excl other
F73.8	Profound mental retardation: other impairments of behaviour	Excl other
F73.9	Profound mental retardation without mention of impairment of behaviour	Excl other
F78	Other mental retardation	Excl other
F78.0	Other mental retardation with the statement of no, or minimal, impairment of behaviour	Excl other
F78.1	Other mental retardation: significant impairment of behaviour requiring attention or treatment	Excl other
F79.1	Unspecified mental retardation: significant impairment of behaviour requiring attention or treatment	Excl other
F79.8	Unspecified mental retardation: other impairments of behaviour	Excl other
F99	Mental disorder, not otherwise specified	Excl other
G31.2	Degeneration of nervous system due to alcohol	alcohol dependence
G62.1	Alcoholic polyneuropathy	alcohol dependence
G72.1	Alcoholic myopathy	alcohol dependence
I06.0	Rheumatic aortic stenosis	Primary valvular obstruction
I06.2	Rheumatic aortic stenosis with insufficiency	Primary valvular obstruction
I08.0	Disorders of both mitral and aortic valves	Primary valvular obstruction
I08.2	Disorders of both aortic and tricuspid valves	Primary valvular obstruction
I08.3	Combined disorders of mitral, aortic and tricuspid valves	Primary valvular obstruction
I08.8	Other multiple valve diseases	Primary valvular obstruction
I11.0	Hypertensive heart disease with (congestive) heart failure	Heart failure
I13.0	Hypertensive heart and renal disease with (congestive) heart failure	Heart failure
I13.2	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure	Heart failure
I31.1	Chronic constrictive pericarditis	Constrictive pericarditis
I35.0	Aortic (valve) stenosis	Primary valvular obstruction
I35.2	Aortic (valve) stenosis with insufficiency	Primary valvular obstruction
I37.0	Pulmonary valve stenosis	Primary valvular obstruction
I37.2	Pulmonary valve stenosis with insufficiency	Primary valvular obstruction
I42.6	Alcoholic cardiomyopathy	alcohol dependence
I50	Heart failure	Heart failure
I50.0	Congestive heart failure	Heart failure
I50.1	Left ventricular failure	Heart failure
I50.9	Heart failure, unspecified	Heart failure
I60	Subarachnoid haemorrhage	stroke
I60.0	Subarachnoid haemorrhage from carotid siphon and bifurcation	stroke
I60.1	Subarachnoid haemorrhage from middle cerebral artery	stroke
I60.2	Subarachnoid haemorrhage from anterior communicating artery	stroke
I60.3	Subarachnoid haemorrhage from posterior communicating artery	stroke
I60.4	Subarachnoid haemorrhage from basilar artery	stroke
I60.5	Subarachnoid haemorrhage from vertebral artery	stroke
I60.6	Subarachnoid haemorrhage from other intracranial arteries	stroke
I60.7	Subarachnoid haemorrhage from intracranial artery, unspecified	stroke
I60.8	Other subarachnoid haemorrhage	stroke
I60.9	Subarachnoid haemorrhage, unspecified	stroke
I61	Intracerebral haemorrhage	stroke
I61.0	Intracerebral haemorrhage in hemisphere, subcortical	stroke
I61.1	Intracerebral haemorrhage in hemisphere, cortical	stroke
I61.2	Intracerebral haemorrhage in hemisphere, unspecified	stroke
I61.3	Intracerebral haemorrhage in brain stem	stroke
I61.4	Intracerebral haemorrhage in cerebellum	stroke
I61.5	Intracerebral haemorrhage, intraventricular	stroke
I61.6	Intracerebral haemorrhage, multiple localized	stroke
I61.8	Other intracerebral haemorrhage	stroke
I61.9	Intracerebral haemorrhage, unspecified	stroke
I62	Other nontraumatic intracranial haemorrhage	stroke
I69.0	Sequelae of subarachnoid haemorrhage	stroke
I69.1	Sequelae of intracerebral haemorrhage	stroke
I69.2	Sequelae of other nontraumatic intracranial haemorrhage	stroke
I70.1	Atherosclerosis of renal artery	renal artery stenosis
I85.0	oesophageal varices with bleeding	Liver disease
I85.9	oesophageal varices without bleeding	Liver disease
I86.4	Gastric varices	Liver disease
I98.2	Oesophageal varices without bleeding in diseases classified elsewhere	Liver disease
I98.3	Oesophageal varices with bleeding in diseases classified elsewhere	Liver disease
K29.2	Alcoholic gastritis	alcohol dependence
K70	Alcoholic liver disease	Liver disease
K70.0	Alcoholic fatty liver	Liver disease
K70.1	Alcoholic hepatitis	Liver disease
K70.2	Alcholic fibrosis and sclerosis of liver	Liver disease
K70.3	Alcoholic cirrhosis of liver	Liver disease
K70.4	Alcoholic hepatic failure	Liver disease
K70.9	Alcoholic liver disease, unspecified	Liver disease
K71	Toxic liver disease	Liver disease
K71.0	Toxic liver disease with cholestasis	Liver disease
K71.1	Toxic liver disease with hepatic necrosis	Liver disease
K71.2	Toxic liver disease with acute hepatitis	Liver disease
K71.3	Toxic liver disease with chronic persistent hepatitis	Liver disease
K71.4	Toxic liver disease with chronic lobular hepatitis	Liver disease
K71.5	Toxic liver disease with chronic active hepatitis	Liver disease
K71.6	Toxic liver disease with hepatitis, not elsewhere classified	Liver disease
K71.7	Toxic liver disease with fibrosis and cirrhosis of liver	Liver disease
K71.8	Toxic liver disease with other disorders of liver	Liver disease
K71.9	Toxic liver disease, unspecified	Liver disease
K72	Hepatic failure, not elsewhere classified	Liver disease
K72.0	Acute and subacute hepatic failure	Liver disease
K72.1	Chronic hepatic failure	Liver disease
