medcodeid	term	snomedctconceptid	complications
406351000000114	Referral for diabetic retinopathy screening	248161000000101	
2182651000000118	Referral to community diabetes clinic	841221000000102	
2116661000000116	Referral to community diabetes service	811391000000104	
479981000000119	Referral to community diabetes specialist nurse	279521000000108	
2176771000000110	Referral to community diabetes specialist nurse declined	838731000000104	
546871000000112	Referral to DAFNE diabetes structured education programme	306701000000102	
1868141000006110	Referral to DAFNE diabetes structured educn prog declined	860981000000106	
546961000000111	Referral to DESMOND diabetes structured education programme	306741000000104	
2533106011	Referral to diabetes preconception counselling clinic	415269004	
620171000000113	Referral to diabetes special interest general practitioner	334711000000100	
2533110014	Referral to diabetes structured education programme	415270003	
308811000000110	Referral to diabetic eye clinic	202461000000102	
307661000000114	Referral to diabetic register	201961000000104	
299991000000112	Referral to multidisciplinary diabetic clinic	198831000000108	
547061000000110	Referral to XPERT diabetes structured education programme	306771000000105	
285752011	Refuses diabetes monitoring	185754009	
354316011	Renal diabetes	127013003	
169731000006118	Retinal abnormality - diabetes related	4855003	
453053017	Retinal abnormality - non-diabetes	309596003	
15518018	Secondary diabetes mellitus	8801005	
189721000000113	Secondary diabetes mellitus without complication	8801005	
1230929011	Secondary pancreatic diabetes mellitus	51002006	
198461000000116	Secondary pancreatic diabetes mellitus without complication	51002006	
1628691000006114	Seen by general practitioner special interest in diabetes	300641000000105	
2549069011	Seen in community diabetes specialist clinic	416554009	
2549222013	Seen in community diabetic specialist nurse clinic	416696002	
285223014	Seen in diabetic clinic	185229005	
457231013	Seen in diabetic eye clinic	313340009	
2159271018	Seen in diabetic foot clinic	407672007	
2549778010	Seen in diabetic nurse consultant clinic	417566006	
300021000000110	Seen in multidisciplinary diabetic clinic	198841000000104	
147581000006112	Self-induced hyperinsulinism	190429008	
292644013	Spontaneous hypoglycaemia NOS	111559003	
127041000006110	Steroid induced diabetes	190447002	
127051000006112	Steroid induced diabetes mellitus without complication	190416008	
1707491000000116	Suspected diabetes mellitus	473127005	
112841000006113	Syndrome of infant of mother with gestational diabetes	762291006	
2532974016	Transition of diabetes care options discussed	415744000	
96311000006111	Transitory metabolic disturbance-infant pre-diabetic mother	206506005	
197984010	Type 1 diabetes mellitus	46635009	
84281000006115	Type 1 diabetes mellitus	46635009	
292548017	Type 1 diabetes mellitus - poor control	444073006	
84291000006117	Type 1 diabetes mellitus - poor control	444073006	
2288041000000110	Type 1 diabetes mellitus in remission	703137001	
84301000006116	Type 1 diabetes mellitus maturity onset	190372001	
292553010	Type 1 diabetes mellitus maturity onset	190372001	
459292011	Type 1 diabetes mellitus with arthropathy	314893005	
84311000006118	Type 1 diabetes mellitus with arthropathy	314893005	
84321000006114	Type 1 diabetes mellitus with diabetic cataract	421920002	
913901000006112	Type 1 diabetes mellitus with diabetic cataract	421920002	
938301000006114	Type 1 diabetes mellitus with exudative maculopathy	420486006	
292541011	Type 1 diabetes mellitus with gangrene	420825003	
84331000006112	Type 1 diabetes mellitus with gangrene	420825003	
299601000000114	Type 1 diabetes mellitus with gastroparesis	713702000	
459161015	Type 1 diabetes mellitus with hypoglycaemic coma	314771006	
84341000006119	Type 1 diabetes mellitus with hypoglycaemic coma	314771006	
928501000006119	Type 1 diabetes mellitus with ketoacidosis	420270002	
928521000006112	Type 1 diabetes mellitus with ketoacidotic coma	421075007	
913781000006117	Type 1 diabetes mellitus with mononeuropathy	420918009	
84351000006117	Type 1 diabetes mellitus with mononeuropathy	420918009	
913541000006118	Type 1 diabetes mellitus with multiple complications	422228004	
84361000006115	Type 1 diabetes mellitus with multiple complications	422228004	
84371000006110	Type 1 diabetes mellitus with nephropathy	421893009	
913841000006116	Type 1 diabetes mellitus with nephropathy	421893009	
84381000006113	Type 1 diabetes mellitus with neurological complications	421468001	
913511000006117	Type 1 diabetes mellitus with neurological complications	421468001	
84391000006111	Type 1 diabetes mellitus with neuropathic arthropathy	71771000119100	
459296014	Type 1 diabetes mellitus with neuropathic arthropathy	71771000119100	
913481000006113	Type 1 diabetes mellitus with ophthalmic complications	739681000	
84401000006113	Type 1 diabetes mellitus with ophthalmic complications	739681000	
84411000006111	Type 1 diabetes mellitus with peripheral angiopathy	31211000119101	
913931000006116	Type 1 diabetes mellitus with peripheral angiopathy	31211000119101	
1780311019	Type 1 diabetes mellitus with persistent microalbuminuria	401110002	
928461000006119	Type 1 diabetes mellitus with persistent proteinuria	420514000	
84421000006115	Type 1 diabetes mellitus with polyneuropathy	713705003	
913811000006115	Type 1 diabetes mellitus with polyneuropathy	713705003	
913451000006117	Type 1 diabetes mellitus with renal complications	421893009	
84431000006117	Type 1 diabetes mellitus with renal complications	421893009	
913661000006118	Type 1 diabetes mellitus with retinopathy	420789003	
84441000006110	Type 1 diabetes mellitus with retinopathy	420789003	
292540012	Type 1 diabetes mellitus with ulcer	190368000	
84451000006112	Type 1 diabetes mellitus with ulcer	190368000	
84461000006114	Type 1 diabetes mellitus without complication	313435000	
457326014	Type 1 diabetes mellitus without complication	313435000	
1665751000000119	Type 1 diabetic dietary review	754101000000103	
197761014	Type 2 diabetes mellitus	44054006	
84471000006119	Type 2 diabetes mellitus	44054006	
292590011	Type 2 diabetes mellitus - poor control	443694000	
84481000006116	Type 2 diabetes mellitus - poor control	443694000	
2288071000000116	Type 2 diabetes mellitus in remission	703138006	
84491000006118	Type 2 diabetes mellitus with arthropathy	314903002	
459310018	Type 2 diabetes mellitus with arthropathy	314903002	
914301000006111	Type 2 diabetes mellitus with diabetic cataract	420756003	
84501000006114	Type 2 diabetes mellitus with diabetic cataract	420756003	
938321000006116	Type 2 diabetes mellitus with exudative maculopathy	421779007	
84511000006112	Type 2 diabetes mellitus with gangrene	421631007	
292583018	Type 2 diabetes mellitus with gangrene	421631007	
299621000000117	Type 2 diabetes mellitus with gastroparesis	713703005	
459167016	Type 2 diabetes mellitus with hypoglycaemic coma	719216001	
84521000006116	Type 2 diabetes mellitus with hypoglycaemic coma	719216001	
928581000006111	Type 2 diabetes mellitus with ketoacidosis	421750000	
928601000006118	Type 2 diabetes mellitus with ketoacidotic coma	421847006	
84531000006118	Type 2 diabetes mellitus with mononeuropathy	420436000	
914221000006113	Type 2 diabetes mellitus with mononeuropathy	420436000	
292577016	Type 2 diabetes mellitus with multiple complications	190388001	
84541000006111	Type 2 diabetes mellitus with multiple complications	190388001	
914261000006119	Type 2 diabetes mellitus with nephropathy	420279001	
84551000006113	Type 2 diabetes mellitus with nephropathy	420279001	
914071000006115	Type 2 diabetes mellitus with neurological complications	421326000	
84561000006110	Type 2 diabetes mellitus with neurological complications	421326000	
459313016	Type 2 diabetes mellitus with neuropathic arthropathy	314904008	
84571000006115	Type 2 diabetes mellitus with neuropathic arthropathy	314904008	
84581000006117	Type 2 diabetes mellitus with ophthalmic complications	422099009	
914051000006113	Type 2 diabetes mellitus with ophthalmic complications	422099009	
459308015	Type 2 diabetes mellitus with peripheral angiopathy	314902007	
84591000006119	Type 2 diabetes mellitus with peripheral angiopathy	314902007	
928561000006118	Type 2 diabetes mellitus with persistent microalbuminuria	420715001	
928541000006117	Type 2 diabetes mellitus with persistent proteinuria	421986006	
84601000006110	Type 2 diabetes mellitus with polyneuropathy	713706002	
914241000006118	Type 2 diabetes mellitus with polyneuropathy	713706002	
914031000006118	Type 2 diabetes mellitus with renal complications	420279001	
84611000006113	Type 2 diabetes mellitus with renal complications	420279001	
84621000006117	Type 2 diabetes mellitus with retinopathy	422034002	
914151000006112	Type 2 diabetes mellitus with retinopathy	422034002	
292579018	Type 2 diabetes mellitus with ulcer	190389009	
84631000006119	Type 2 diabetes mellitus with ulcer	190389009	
457329019	Type 2 diabetes mellitus without complication	313436004	
84641000006112	Type 2 diabetes mellitus without complication	313436004	
1665721000000112	Type 2 diabetic dietary review	754121000000107	
2475901019	Type A insulin resistance	237651005	
84651000006114	Type I diabetes mellitus	46635009	
494564012	Type I diabetes mellitus	46635009	
292550013	Type I diabetes mellitus - poor control	444073006	
84661000006111	Type I diabetes mellitus - poor control	444073006	
2288011000000114	Type I diabetes mellitus in remission	703137001	
292551012	Type I diabetes mellitus maturity onset	190372001	
84671000006116	Type I diabetes mellitus maturity onset	190372001	
459294012	Type I diabetes mellitus with arthropathy	314893005	
84681000006118	Type I diabetes mellitus with arthropathy	314893005	
84691000006115	Type I diabetes mellitus with diabetic cataract	421920002	
913911000006110	Type I diabetes mellitus with diabetic cataract	421920002	
938311000006112	Type I diabetes mellitus with exudative maculopathy	420486006	
292543014	Type I diabetes mellitus with gangrene	420825003	
84701000006115	Type I diabetes mellitus with gangrene	420825003	
1667941000000112	Type I diabetes mellitus with gastroparesis	713702000	
84711000006117	Type I diabetes mellitus with hypoglycaemic coma	314771006	
459163017	Type I diabetes mellitus with hypoglycaemic coma	314771006	
928511000006116	Type I diabetes mellitus with ketoacidosis	420270002	
928531000006110	Type I diabetes mellitus with ketoacidotic coma	421075007	
84721000006113	Type I diabetes mellitus with mononeuropathy	420918009	
913791000006119	Type I diabetes mellitus with mononeuropathy	420918009	
84731000006111	Type I diabetes mellitus with multiple complications	422228004	
913551000006116	Type I diabetes mellitus with multiple complications	422228004	
84741000006118	Type I diabetes mellitus with nephropathy	421893009	
913851000006119	Type I diabetes mellitus with nephropathy	421893009	
84751000006116	Type I diabetes mellitus with neurological complications	421468001	
913521000006113	Type I diabetes mellitus with neurological complications	421468001	
459295013	Type I diabetes mellitus with neuropathic arthropathy	71771000119100	
84761000006119	Type I diabetes mellitus with neuropathic arthropathy	71771000119100	
913491000006111	Type I diabetes mellitus with ophthalmic complications	739681000	
84771000006114	Type I diabetes mellitus with ophthalmic complications	739681000	
84781000006112	Type I diabetes mellitus with peripheral angiopathy	31211000119101	
913941000006114	Type I diabetes mellitus with peripheral angiopathy	31211000119101	
928491000006110	Type I diabetes mellitus with persistent microalbuminuria	401110002	
928471000006114	Type I diabetes mellitus with persistent proteinuria	420514000	
913821000006111	Type I diabetes mellitus with polyneuropathy	713705003	
84791000006110	Type I diabetes mellitus with polyneuropathy	713705003	
913461000006115	Type I diabetes mellitus with renal complications	421893009	
84801000006111	Type I diabetes mellitus with renal complications	421893009	
913671000006113	Type I diabetes mellitus with retinopathy	420789003	
84811000006114	Type I diabetes mellitus with retinopathy	420789003	
292538019	Type I diabetes mellitus with ulcer	190368000	
84821000006118	Type I diabetes mellitus with ulcer	190368000	
457325013	Type I diabetes mellitus without complication	313435000	
84831000006115	Type I diabetes mellitus without complication	313435000	
1658861000000113	Type I diabetic dietary review	754101000000103	
84841000006113	Type II diabetes mellitus	44054006	
493774016	Type II diabetes mellitus	44054006	
84851000006110	Type II diabetes mellitus - poor control	443694000	
292589019	Type II diabetes mellitus - poor control	443694000	
2288061000000111	Type II diabetes mellitus in remission	703138006	
459311019	Type II diabetes mellitus with arthropathy	314903002	
84861000006112	Type II diabetes mellitus with arthropathy	314903002	
914311000006114	Type II diabetes mellitus with diabetic cataract	420756003	
84871000006117	Type II diabetes mellitus with diabetic cataract	420756003	
938331000006118	Type II diabetes mellitus with exudative maculopathy	421779007	
84881000006119	Type II diabetes mellitus with gangrene	421631007	
292582011	Type II diabetes mellitus with gangrene	421631007	
1667921000000117	Type II diabetes mellitus with gastroparesis	713703005	
459169018	Type II diabetes mellitus with hypoglycaemic coma	719216001	
84891000006116	Type II diabetes mellitus with hypoglycaemic coma	719216001	
928591000006114	Type II diabetes mellitus with ketoacidosis	421750000	
928611000006115	Type II diabetes mellitus with ketoacidotic coma	421847006	
914231000006111	Type II diabetes mellitus with mononeuropathy	420436000	
84901000006117	Type II diabetes mellitus with mononeuropathy	420436000	
292576013	Type II diabetes mellitus with multiple complications	190388001	
84911000006119	Type II diabetes mellitus with multiple complications	190388001	
914271000006114	Type II diabetes mellitus with nephropathy	420279001	
84921000006110	Type II diabetes mellitus with nephropathy	420279001	
914081000006117	Type II diabetes mellitus with neurological complications	421326000	
84931000006113	Type II diabetes mellitus with neurological complications	421326000	
459312014	Type II diabetes mellitus with neuropathic arthropathy	314904008	
84941000006115	Type II diabetes mellitus with neuropathic arthropathy	314904008	
914061000006110	Type II diabetes mellitus with ophthalmic complications	422099009	
84951000006118	Type II diabetes mellitus with ophthalmic complications	422099009	
84961000006116	Type II diabetes mellitus with peripheral angiopathy	314902007	
459306016	Type II diabetes mellitus with peripheral angiopathy	314902007	
928571000006113	Type II diabetes mellitus with persistent microalbuminuria	420715001	
928551000006115	Type II diabetes mellitus with persistent proteinuria	421986006	
914251000006116	Type II diabetes mellitus with polyneuropathy	713706002	
84971000006111	Type II diabetes mellitus with polyneuropathy	713706002	
84981000006114	Type II diabetes mellitus with renal complications	420279001	
914041000006111	Type II diabetes mellitus with renal complications	420279001	
914161000006114	Type II diabetes mellitus with retinopathy	422034002	
84991000006112	Type II diabetes mellitus with retinopathy	422034002	
85001000006117	Type II diabetes mellitus with ulcer	190389009	
292581016	Type II diabetes mellitus with ulcer	190389009	
457330012	Type II diabetes mellitus without complication	313436004	
85011000006119	Type II diabetes mellitus without complication	313436004	
1658901000000118	Type II diabetic dietary review	754121000000107	
2159956013	Under care of diabetes specialist nurse	408392008	
2159958014	Under care of diabetic foot screener	408394009	
264695015	Understands diet - diabetes	170753006	
292565014	Unspecified diabetes mellitus with multiple complications	385041000000108	
411891014	Unstable diabetes	11530004	
429972014	Unstable insulin dependent diabetes mellitus	11530004	
72651000006114	Unstable insulin dependent diabetes mellitus	11530004	
429971019	Unstable type 1 diabetes mellitus	290002008	
72711000006117	Unstable type 1 diabetes mellitus	290002008	
429970018	Unstable type I diabetes mellitus	290002008	
72721000006113	Unstable type I diabetes mellitus	290002008	
1139821000000110	Unsuitable for diabetes year of care programme	512561000000108	
1488822019	Urine screening test for diabetes	395123002	
546291000000112	XPERT diabetes structured education programme completed	306531000000104	
1539131000006115	Referral for diabetic retinopathy screening	1539131000006104	1
